Sample,Group,MQY
IT-C1,IT-C,0.653
IT-C2,IT-C,0.595
IT-C3,IT-C,0.622
IT-C4,IT-C,0.601
IT-C5,IT-C,0.613
IT-C6,IT-C,0.622
IT-C7,IT-C,0.607
IT-C8,IT-C,0.651
IT-C9,IT-C,0.609
IT-C10,IT-C,0.642
IT-C11,IT-C,0.604
IT-C12,IT-C,0.607
IT-C13,IT-C,0.62
IT-C14,IT-C,0.622
IT-C15,IT-C,0.581
IT-C16,IT-C,0.68
IT-C17,IT-C,0.57
IT-C18,IT-C,0.577
IT-C19,IT-C,0.65
IT-C20,IT-C,0.601
IT-C21,IT-C,0.6
IT-C22,IT-C,0.598
IT-C23,IT-C,0.619
IT-C24,IT-C,0.628
IT-C25,IT-C,0.66
IT-C26,IT-C,0.636
IT-C27,IT-C,0.603
IT-C28,IT-C,0.634333
IT-C29,IT-C,0.612333
IT-C30,IT-C,0.642333
IT-C31,IT-C,0.614333
IT-C32,IT-C,0.636
IT-C33,IT-C,0.621333
IT-H1,IT-H,0.582
IT-H2,IT-H,0.594
IT-H3,IT-H,0.57
IT-H4,IT-H,0.571
IT-H5,IT-H,0.564
IT-H6,IT-H,0.568
IT-H7,IT-H,0.588
IT-H8,IT-H,0.578
IT-H9,IT-H,0.576
IT-H10,IT-H,0.583
IT-H11,IT-H,0.551
IT-H12,IT-H,0.563
IT-H13,IT-H,0.567
IT-H14,IT-H,0.583
IT-H15,IT-H,0.549
IT-H16,IT-H,0.572
IT-H17,IT-H,0.564
IT-H18,IT-H,0.565
IT-H19,IT-H,0.511
IT-H20,IT-H,0.572
IT-H21,IT-H,0.571
IT-H22,IT-H,0.558
IT-H23,IT-H,0.593
IT-H24,IT-H,0.596
IT-H25,IT-H,0.569
IT-H26,IT-H,0.576
IT-H27,IT-H,0.548
IT-H28,IT-H,0.580667
IT-H29,IT-H,0.587
IT-H30,IT-H,0.593
IT-H31,IT-H,0.595667
IT-H32,IT-H,0.574333
IT-H33,IT-H,0.582333
ST-C1,ST-C,0.719
ST-C2,ST-C,0.618
ST-C3,ST-C,0.638
ST-C4,ST-C,0.62
ST-C5,ST-C,0.635
ST-C6,ST-C,0.649
ST-C7,ST-C,0.581
ST-C8,ST-C,0.655
ST-C9,ST-C,0.659
ST-C10,ST-C,0.524
ST-C11,ST-C,0.635
ST-C12,ST-C,0.603
ST-C13,ST-C,0.642
ST-C14,ST-C,0.609
ST-C15,ST-C,0.632
ST-C16,ST-C,0.668
ST-C17,ST-C,0.668
ST-C18,ST-C,0.63
ST-C19,ST-C,0.621
ST-C20,ST-C,0.6
ST-C21,ST-C,0.632
ST-C22,ST-C,0.623
ST-C23,ST-C,0.625
ST-C24,ST-C,0.596
ST-C25,ST-C,0.631
ST-C26,ST-C,0.641
ST-C27,ST-C,0.632
ST-C28,ST-C,0.645
ST-C29,ST-C,0.595
ST-C30,ST-C,0.623
ST-C31,ST-C,0.627667
ST-C32,ST-C,0.652333
ST-C33,ST-C,0.606
ST-C34,ST-C,0.625
ST-C35,ST-C,0.650333
ST-C36,ST-C,0.681333
ST-H1,ST-H,0.445
ST-H2,ST-H,0.115
ST-H3,ST-H,0.164
ST-H4,ST-H,0.138
ST-H5,ST-H,0.214
ST-H6,ST-H,0.53
ST-H7,ST-H,0.533
ST-H8,ST-H,0.007
ST-H9,ST-H,0.205
ST-H10,ST-H,0.138
ST-H11,ST-H,0.158
ST-H12,ST-H,0.132
ST-H13,ST-H,0.485
ST-H14,ST-H,0.537
ST-H15,ST-H,0.185
ST-H16,ST-H,0.133
ST-H17,ST-H,0.265
ST-H18,ST-H,0.204
ST-H19,ST-H,0.167
ST-H20,ST-H,0.55
ST-H21,ST-H,0.169
ST-H22,ST-H,0.178
ST-H23,ST-H,0.198
ST-H24,ST-H,0.245
ST-H25,ST-H,0.204
ST-H26,ST-H,0.11
ST-H27,ST-H,0.249
ST-H28,ST-H,0.213
ST-H29,ST-H,0.121
ST-H30,ST-H,0.176
ST-H31,ST-H,0.504
ST-H32,ST-H,0.569
ST-H33,ST-H,0.26
ST-H34,ST-H,0.254
ST-H35,ST-H,0.3345
ST-H36,ST-H,0.3425
