"Sample","Shannon","Group","Habitat"
"IT1",3.2580756008148,"IT","Intertidal"
"IT10",3.09588022551085,"IT","Intertidal"
"IT11",3.13499125997014,"IT","Intertidal"
"IT12",3.16615204015035,"IT","Intertidal"
"IT13",3.61558515283261,"IT","Intertidal"
"IT14",3.3171781988832,"IT","Intertidal"
"IT15",3.20890427506281,"IT","Intertidal"
"IT16",3.22508547051728,"IT","Intertidal"
"IT17",3.11614243425059,"IT","Intertidal"
"IT18",3.40494593761272,"IT","Intertidal"
"IT19",3.38534317274849,"IT","Intertidal"
"IT2",3.33220261298045,"IT","Intertidal"
"IT20",3.15998464134896,"IT","Intertidal"
"IT21",2.33058890892693,"IT","Intertidal"
"IT22",2.85560733213627,"IT","Intertidal"
"IT23",3.18653428782783,"IT","Intertidal"
"IT24",3.54330306203588,"IT","Intertidal"
"IT25",3.26148601704756,"IT","Intertidal"
"IT26",3.31627827588389,"IT","Intertidal"
"IT27",3.39279700535528,"IT","Intertidal"
"IT3",2.39557399917405,"IT","Intertidal"
"IT4",3.454828901095,"IT","Intertidal"
"IT5",3.31149794258877,"IT","Intertidal"
"IT6",3.19180695602242,"IT","Intertidal"
"IT7",3.3721254265719,"IT","Intertidal"
"IT8",3.36468617053947,"IT","Intertidal"
"IT9",3.28350214410109,"IT","Intertidal"
"ST1",1.70458153163572,"ST","Subtidal"
"ST10",2.82295996374772,"ST","Subtidal"
"ST11",2.05847702130062,"ST","Subtidal"
"ST12",2.98132712873003,"ST","Subtidal"
"ST13",2.11953037490343,"ST","Subtidal"
"ST14",3.06273408667388,"ST","Subtidal"
"ST15",2.90058043895595,"ST","Subtidal"
"ST16",1.78247166887903,"ST","Subtidal"
"ST17",1.87971378969913,"ST","Subtidal"
"ST18",2.9019277183991,"ST","Subtidal"
"ST19",3.01131369341887,"ST","Subtidal"
"ST2",2.38958225652275,"ST","Subtidal"
"ST20",2.8434031587807,"ST","Subtidal"
"ST21",2.27149240563301,"ST","Subtidal"
"ST22",2.60386486388919,"ST","Subtidal"
"ST23",2.83462994118058,"ST","Subtidal"
"ST24",1.64118126436473,"ST","Subtidal"
"ST25",1.84069208752958,"ST","Subtidal"
"ST26",1.80052543912017,"ST","Subtidal"
"ST27",1.71427890017463,"ST","Subtidal"
"ST28",2.77047054734251,"ST","Subtidal"
"ST29",2.98170955965382,"ST","Subtidal"
"ST3",1.83225985895433,"ST","Subtidal"
"ST30",1.71149158334569,"ST","Subtidal"
"ST4",1.97076203255271,"ST","Subtidal"
"ST5",2.30475768508826,"ST","Subtidal"
"ST6",2.97870406684978,"ST","Subtidal"
"ST7",2.73540111022462,"ST","Subtidal"
"ST8",2.5568976779206,"ST","Subtidal"
"ST9",2.92066129459496,"ST","Subtidal"
