Sample,Group
IT1,IT
IT2,IT
IT3,IT
IT4,IT
IT5,IT
IT6,IT
IT7,IT
IT8,IT
IT9,IT
IT10,IT
IT11,IT
IT12,IT
IT13,IT
IT14,IT
IT15,IT
IT16,IT
IT17,IT
IT18,IT
IT19,IT
IT20,IT
IT21,IT
IT22,IT
IT23,IT
IT24,IT
IT25,IT
IT26,IT
IT27,IT
ST1,ST
ST2,ST
ST3,ST
ST4,ST
ST5,ST
ST6,ST
ST7,ST
ST8,ST
ST9,ST
ST10,ST
ST11,ST
ST12,ST
ST13,ST
ST14,ST
ST15,ST
ST16,ST
ST17,ST
ST18,ST
ST19,ST
ST20,ST
ST21,ST
ST22,ST
ST23,ST
ST24,ST
ST25,ST
ST26,ST
ST27,ST
ST28,ST
ST29,ST
ST30,ST
