"KO","row","example_pathway"
"K00477","K00477","Cellular Processes; Transport and catabolism; Peroxisome"
"K00624","K00624","Cellular Processes; Transport and catabolism; Peroxisome"
"K01014","K01014","Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"K01125","K01125","Cellular Processes; Transport and catabolism; Lysosome"
"K01165","K01165","Organismal Systems; Immune system; NOD-like receptor signaling pathway"
"K04558","K04558","Human Diseases; Neurodegenerative diseases; Parkinson disease"
"K04564","K04564","Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly"
"K04565","K04565","Cellular Processes; Transport and catabolism; Peroxisome"
"K04739","K04739","Organismal Systems; Endocrine system; Insulin signaling pathway"
"K06063","K06063","Genetic Information Processing; Transcription; Spliceosome"
"K06229","K06229","Environmental Information Processing; Signal transduction; Hedgehog signaling pathway"
"K06250","K06250","Environmental Information Processing; Signal transduction; Apelin signaling pathway"
"K06667","K06667","Cellular Processes; Cell growth and death; Cell cycle - yeast"
"K06985","K06985","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K07190","K07190","Environmental Information Processing; Signal transduction; Calcium signaling pathway"
"K07213","K07213","Organismal Systems; Digestive system; Mineral absorption"
"K09848","K09848","Cellular Processes; Cell growth and death; Apoptosis - fly"
"K10133","K10133","Cellular Processes; Cell growth and death; p53 signaling pathway"
"K11089","K11089","Human Diseases; Immune diseases; Systemic lupus erythematosus"
"K11092","K11092","Genetic Information Processing; Transcription; Spliceosome"
"K11187","K11187","Cellular Processes; Transport and catabolism; Peroxisome"
"K12381","K12381","Cellular Processes; Transport and catabolism; Lysosome"
"K12460","K12460","Organismal Systems; Nervous system; Neurotrophin signaling pathway"
"K12813","K12813","Genetic Information Processing; Transcription; Spliceosome"
"K12816","K12816","Genetic Information Processing; Transcription; Spliceosome"
"K12852","K12852","Genetic Information Processing; Transcription; Spliceosome"
"K12854","K12854","Genetic Information Processing; Transcription; Spliceosome"
"K12885","K12885","Genetic Information Processing; Transcription; Spliceosome"
"K12886","K12886","Genetic Information Processing; Transcription; Spliceosome"
"K13091","K13091","Brite Hierarchies; Protein families: genetic information processing; Spliceosome"
"K13094","K13094","Brite Hierarchies; Protein families: genetic information processing; Spliceosome"
"K13098","K13098","Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer"
"K13111","K13111","Brite Hierarchies; Protein families: genetic information processing; Spliceosome"
"K13116","K13116","Brite Hierarchies; Protein families: genetic information processing; Spliceosome"
"K13150","K13150","Brite Hierarchies; Protein families: genetic information processing; Spliceosome"
"K13444","K13444","Cellular Processes; Transport and catabolism; Lysosome"
"K13459","K13459","Organismal Systems; Environmental adaptation; Plant-pathogen interaction"
"K13582","K13582","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13583","K13583","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13586","K13586","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13590","K13590","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13592","K13592","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13593","K13593","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter"
"K13912","K13912","Organismal Systems; Digestive system; Salivary secretion"
"K13963","K13963","Human Diseases; Infectious diseases: Parasitic; Amoebiasis"
"K13985","K13985","Organismal Systems; Nervous system; Retrograde endocannabinoid signaling"
"K14475","K14475","Human Diseases; Infectious diseases: Parasitic; African trypanosomiasis"
"K14754","K14754","Human Diseases; Infectious diseases: Viral; Measles"
"K15045","K15045","Human Diseases; Infectious diseases: Viral; Influenza A"
"K16628","K16628","Organismal Systems; Digestive system; Protein digestion and absorption"
"K17231","K17231","Organismal Systems; Endocrine system; Thyroid hormone synthesis"
"K17879","K17879","Cellular Processes; Transport and catabolism; Peroxisome"
"K18953","K18953","Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway"
"K20033","K20033","Environmental Information Processing; Signal transduction; Hedgehog signaling pathway"
"K20703","K20703","Cellular Processes; Cell growth and death; Necroptosis"
"K22197","K22197","Human Diseases; Cancers: Specific types; Hepatocellular carcinoma"
