"Raw_sample_ID","Sample","Habitat","Phylum_assigned_reads"
"restI1","IT1","Intertidal",30538
"restI2","IT2","Intertidal",32452
"restI3","IT3","Intertidal",141884
"restI5","IT4","Intertidal",44968
"restI6","IT5","Intertidal",30404
"restI7","IT6","Intertidal",34623
"restI8","IT7","Intertidal",35167
"restI9","IT8","Intertidal",72744
"restI10","IT9","Intertidal",49078
"restI11","IT10","Intertidal",35490
"restI12","IT11","Intertidal",40131
"restI13","IT12","Intertidal",26943
"restI14","IT13","Intertidal",36254
"restI15","IT14","Intertidal",28485
"restI16","IT15","Intertidal",52471
"restI17","IT16","Intertidal",36649
"restI18","IT17","Intertidal",42076
"restI19","IT18","Intertidal",39128
"restI21","IT19","Intertidal",36510
"restI22","IT20","Intertidal",95829
"restI23","IT21","Intertidal",336431
"restI24","IT22","Intertidal",200140
"restI25","IT23","Intertidal",35384
"restI26","IT24","Intertidal",23947
"restI27","IT25","Intertidal",41047
"restI28","IT26","Intertidal",29538
"restI29","IT27","Intertidal",26711
"restS1","ST1","Subtidal",381651
"restS2","ST2","Subtidal",85784
"restS3","ST3","Subtidal",162676
"restS4","ST4","Subtidal",200214
"restS5","ST5","Subtidal",92624
"restS6","ST6","Subtidal",15598
"restS7","ST7","Subtidal",46204
"restS8","ST8","Subtidal",44881
"restS9","ST9","Subtidal",40282
"restS10","ST10","Subtidal",58012
"restS11","ST11","Subtidal",181255
"restS12","ST12","Subtidal",85202
"restS13","ST13","Subtidal",131294
"restS14","ST14","Subtidal",57251
"restS15","ST15","Subtidal",57146
"restS16","ST16","Subtidal",435285
"restS17","ST17","Subtidal",187950
"restS18","ST18","Subtidal",35069
"restS19","ST19","Subtidal",37140
"restS20","ST20","Subtidal",58169
"restS21","ST21","Subtidal",159622
"restS22","ST22","Subtidal",120172
"restS23","ST23","Subtidal",35621
"restS24","ST24","Subtidal",203534
"restS25","ST25","Subtidal",616690
"restS26","ST26","Subtidal",489847
"restS27","ST27","Subtidal",755419
"restS28","ST28","Subtidal",67939
"restS29","ST29","Subtidal",53581
"restS30","ST30","Subtidal",304101
