"Phylum","Mean_relative_abundance","Rank","Display"
"Pseudomonadota",0.58055360126926,1,"Pseudomonadota"
"Unclassified Bacteria",0.15289781079078,2,"Others"
"Spirochaetota",0.099525308160632,3,"Spirochaetota"
"Planctomycetota",0.0579267801170902,4,"Planctomycetota"
"Bacteroidota",0.0407285723423362,5,"Bacteroidota"
"Thermodesulfobacteriota",0.0227974653608602,6,"Thermodesulfobacteriota"
"Bacillota",0.00815008629387334,7,"Bacillota"
"Acidobacteriota",0.00545057910639886,8,"Acidobacteriota"
"Candidatus Omnitrophota",0.00488024044313411,9,"Candidatus Omnitrophota"
"Campylobacterota",0.00425615700074823,10,"Campylobacterota"
"Cyanobacteriota",0.00378525177061873,11,"Cyanobacteriota"
"Chlorobiota",0.00362013925226902,12,"Others"
"Chlamydiota",0.00332486615868037,13,"Others"
"Candidatus Poribacteria",0.00266705964823863,14,"Others"
"Chloroflexota",0.00240008907735396,15,"Others"
"Actinomycetota",0.00203285687876539,16,"Others"
"Gemmatimonadota",0.00112245461532807,17,"Others"
"Mycoplasmatota",0.000569081451216261,18,"Others"
"Verrucomicrobiota",0.000558535508180568,19,"Others"
"Ignavibacteriota",0.000415948589008613,20,"Others"
"Myxococcota",0.000406412577781164,21,"Others"
"Nitrospirota",0.000392810866921397,22,"Others"
"Deltaproteobacteria (no phylum in NCBI)",0.000321193262310585,23,"Others"
"Lentisphaerota",0.000263815951516945,24,"Others"
"Bdellovibrionota",0.000263169468557208,25,"Others"
"Candidatus Neomarinimicrobiota",0.000104779360353666,26,"Others"
"Candidatus Sumerlaeota",9.25985544942842e-05,27,"Others"
"Rhodothermota",6.52721153630492e-05,28,"Others"
"Candidatus Tectomicrobia",4.12220044617529e-05,29,"Others"
"Candidatus Falkowbacteria",3.86199369078451e-05,30,"Others"
"Candidatus Kaiserbacteria",3.58841310330873e-05,31,"Others"
"Fusobacteriota",2.53957437238587e-05,32,"Others"
"Nitrospinota",2.45926985645975e-05,33,"Others"
"Candidatus Cloacimonadota",2.40793899148154e-05,34,"Others"
"Deferribacterota",2.23194410987427e-05,35,"Others"
"Balneolota",2.10000051440678e-05,36,"Others"
"Candidatus Paceibacterota",2.04369690645173e-05,37,"Others"
"Fibrobacterota",1.64994103866488e-05,38,"Others"
"Armatimonadota",1.57724438239759e-05,39,"Others"
"Candidatus Aminicenantes",1.57612099527255e-05,40,"Others"
"Candidatus Saccharibacteria",1.54466151325567e-05,41,"Others"
"Deinococcota",1.50454594474256e-05,42,"Others"
"Kiritimatiellota",1.50099354514638e-05,43,"Others"
"Candidatus Eisenbacteria",1.48596216637055e-05,44,"Others"
"Candidatus Delongbacteria",9.33363237904042e-06,45,"Others"
"Candidatus Latescibacterota",7.85269030974506e-06,46,"Others"
"Candidatus Schekmanbacteria",6.83854494569554e-06,47,"Others"
"Candidatus Hydrogenedentota",5.94362799733082e-06,48,"Others"
"Candidatus Wolfebacteria",4.50412574933086e-06,49,"Others"
"Candidatus Riflebacteria",3.98965181182924e-06,50,"Others"
"Abditibacteriota",3.90140981345019e-06,51,"Others"
"Calditrichota",3.60898456273761e-06,52,"Others"
"Candidatus Peregrinibacteria",2.56445435463583e-06,53,"Others"
"Candidatus Parcubacteria",2.35333075188142e-06,54,"Others"
"Candidatus Nomurabacteria",2.34623026343543e-06,55,"Others"
"Candidatus Vogelbacteria",1.71082903473088e-06,56,"Others"
"Candidatus Moduliflexota",1.44703560286397e-06,57,"Others"
"Candidatus Zambryskibacteria",1.11765660857736e-06,58,"Others"
"Candidatus Yanofskybacteria",1.04293954178556e-06,59,"Others"
"Candidatus Bipolaricaulota",8.86498610517722e-07,60,"Others"
"Candidatus Uhrbacteria",8.86498610517722e-07,61,"Others"
"Candidatus Melainabacteria",8.34351633428444e-07,62,"Others"
"bacterium SCSIO (no phylum in NCBI)",8.18048104500737e-07,63,"Others"
"Candidatus Giovannonibacteria",7.82204656339166e-07,64,"Others"
"Elusimicrobiota",7.18295271825383e-07,65,"Others"
"Candidatus Sungiibacteriota",6.77910702160611e-07,66,"Others"
"Thermomicrobiota",3.65028839624944e-07,67,"Others"
"Candidatus Terrybacteria",3.12881862535667e-07,68,"Others"
"Candidatus Gottesmanbacteria",2.82130138975291e-07,69,"Others"
